date,home_team,away_team,stadium,city,country,kickoff_time_local,timezone,group,is_placeholder_match,match_stage_status
2026-06-25,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,United States,13:00,UTC-4,I,False,Predictable
2026-06-25,Ecuador,Germany,MetLife Stadium,East Rutherford,United States,16:00,UTC-4,I,False,Predictable
2026-06-25,Japan,Sweden,AT&T Stadium,Arlington,United States,19:00,UTC-5,L,False,Predictable
2026-06-25,Tunisia,Netherlands,GEHA Field at Arrowhead Stadium,Kansas City,United States,21:00,UTC-5,L,False,Predictable
2026-06-26,Egypt,Iran,Lumen Field,Seattle,United States,13:00,UTC-7,C,False,Predictable
2026-06-26,New Zealand,Belgium,BC Place,Vancouver,Canada,16:00,UTC-7,C,False,Predictable
2026-06-26,Cape Verde,Saudi Arabia,NRG Stadium,Houston,United States,19:00,UTC-5,F,False,Predictable
2026-06-26,Uruguay,Spain,Estadio Akron,Zapopan,Mexico,21:00,UTC-6,F,False,Predictable
2026-06-26,Norway,France,Gillette Stadium,Foxborough,United States,13:00,UTC-4,K,False,Predictable
2026-06-26,Senegal,Iraq,BMO Field,Toronto,Canada,16:00,UTC-4,K,False,Predictable
2026-06-27,Algeria,Austria,GEHA Field at Arrowhead Stadium,Kansas City,United States,19:00,UTC-5,A,False,Predictable
2026-06-27,Jordan,Argentina,AT&T Stadium,Arlington,United States,21:00,UTC-5,A,False,Predictable
2026-06-27,Colombia,Portugal,Hard Rock Stadium,Miami Gardens,United States,13:00,UTC-4,G,False,Predictable
2026-06-27,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,United States,16:00,UTC-4,G,False,Predictable
2026-06-27,Panama,England,MetLife Stadium,East Rutherford,United States,19:00,UTC-4,H,False,Predictable
2026-06-27,Croatia,Ghana,Lincoln Financial Field,Philadelphia,United States,21:00,UTC-4,H,False,Predictable
2026-06-28,Runner-up Group A,Runner-up Group B,SoFi Stadium,Inglewood,United States,15:00,UTC-7,Round of 32,True,Placeholder
2026-06-29,Winner Group E,3rd Group A/B/C/D/F,Gillette Stadium,Foxborough,United States,18:00,UTC-4,Round of 32,True,Placeholder
2026-06-29,Winner Group F,Runner-up Group C,Estadio BBVA,Guadalupe,Mexico,20:00,UTC-6,Round of 32,True,Placeholder
2026-06-29,Winner Group C,Runner-up Group F,NRG Stadium,Houston,United States,21:00,UTC-5,Round of 32,True,Placeholder
2026-06-30,Winner Group I,3rd Group C/D/F/G/H,MetLife Stadium,East Rutherford,United States,15:00,UTC-4,Round of 32,True,Placeholder
2026-06-30,Runner-up Group E,Runner-up Group I,AT&T Stadium,Arlington,United States,18:00,UTC-5,Round of 32,True,Placeholder
2026-06-30,Winner Group A,3rd Group C/E/F/H/I,Estadio Azteca,Mexico City,Mexico,20:00,UTC-6,Round of 32,True,Placeholder
2026-07-01,Winner Group L,3rd Group E/H/I/J/K,Mercedes-Benz Stadium,Atlanta,United States,21:00,UTC-4,Round of 32,True,Placeholder
2026-07-01,Winner Group D,3rd Group B/E/F/I/J,Levi's Stadium,Santa Clara,United States,15:00,UTC-7,Round of 32,True,Placeholder
2026-07-01,Winner Group G,3rd Group A/E/H/I/J,Lumen Field,Seattle,United States,18:00,UTC-7,Round of 32,True,Placeholder
2026-07-02,Runner-up Group K,Runner-up Group L,BMO Field,Toronto,Canada,20:00,UTC-4,Round of 32,True,Placeholder
2026-07-02,Winner Group H,Runner-up Group J,SoFi Stadium,Inglewood,United States,21:00,UTC-7,Round of 32,True,Placeholder
2026-07-02,Winner Group B,3rd Group E/F/G/I/J,BC Place,Vancouver,Canada,15:00,UTC-7,Round of 32,True,Placeholder
2026-07-03,Winner Group J,Runner-up Group H,Hard Rock Stadium,Miami Gardens,United States,18:00,UTC-4,Round of 32,True,Placeholder
2026-07-03,Winner Group K,3rd Group D/E/I/J/L,GEHA Field at Arrowhead Stadium,Kansas City,United States,20:00,UTC-5,Round of 32,True,Placeholder
2026-07-03,Runner-up Group D,Runner-up Group G,AT&T Stadium,Arlington,United States,21:00,UTC-5,Round of 32,True,Placeholder
