match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2026-03-26_turkey_romania,2026-03-26,FIFA World Cup qualification,Qualifiers,Turkey,Romania,1.0,0.0,1.43,4.74,6.61,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-26_turkey_romania,2026-03-26,FIFA World Cup qualification,Qualifiers,Turkey,Romania,1.0,0.0,1.48,5.0,7.5,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-26_ukraine_sweden,2026-03-26,FIFA World Cup qualification,Qualifiers,Ukraine,Sweden,1.0,3.0,3.27,3.24,2.23,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-26_ukraine_sweden,2026-03-26,FIFA World Cup qualification,Qualifiers,Ukraine,Sweden,1.0,3.0,3.4,3.3,2.3,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-26_wales_bosnia_and_herzegovina,2026-03-26,FIFA World Cup qualification,Qualifiers,Wales,Bosnia and Herzegovina,1.0,1.0,1.66,3.76,5.23,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-26_wales_bosnia_and_herzegovina,2026-03-26,FIFA World Cup qualification,Qualifiers,Wales,Bosnia and Herzegovina,1.0,1.0,1.71,3.9,5.6,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_costa_rica_honduras,2025-11-18,FIFA World Cup qualification,Qualifiers,Costa Rica,Honduras,0.0,0.0,1.49,3.98,5.88,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_costa_rica_honduras,2025-11-18,FIFA World Cup qualification,Qualifiers,Costa Rica,Honduras,0.0,0.0,1.54,4.2,6.5,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_guatemala_suriname,2025-11-18,FIFA World Cup qualification,Qualifiers,Guatemala,Suriname,3.0,1.0,3.32,3.3,2.05,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_guatemala_suriname,2025-11-18,FIFA World Cup qualification,Qualifiers,Guatemala,Suriname,3.0,1.0,3.5,3.5,2.12,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_haiti_nicaragua,2025-11-18,FIFA World Cup qualification,Qualifiers,Haiti,Nicaragua,2.0,0.0,1.18,6.21,12.53,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_haiti_nicaragua,2025-11-18,FIFA World Cup qualification,Qualifiers,Haiti,Nicaragua,2.0,0.0,1.22,7.5,16.5,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_jamaica_cura_ao,2025-11-18,FIFA World Cup qualification,Qualifiers,Jamaica,Curaçao,0.0,0.0,1.9,3.17,4.02,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_jamaica_cura_ao,2025-11-18,FIFA World Cup qualification,Qualifiers,Jamaica,Curaçao,0.0,0.0,1.96,3.3,4.33,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_panama_el_salvador,2025-11-18,FIFA World Cup qualification,Qualifiers,Panama,El Salvador,3.0,0.0,1.11,7.73,18.89,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_panama_el_salvador,2025-11-18,FIFA World Cup qualification,Qualifiers,Panama,El Salvador,3.0,0.0,1.14,9.0,41.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_trinidad_and_tobago_bermuda,2025-11-18,FIFA World Cup qualification,Qualifiers,Trinidad and Tobago,Bermuda,2.0,2.0,1.07,9.72,20.89,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_trinidad_and_tobago_bermuda,2025-11-18,FIFA World Cup qualification,Qualifiers,Trinidad and Tobago,Bermuda,2.0,2.0,1.08,12.0,31.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_austria_bosnia_and_herzegovina,2025-11-18,FIFA World Cup qualification,Qualifiers,Austria,Bosnia and Herzegovina,1.0,1.0,1.32,5.32,8.42,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_austria_bosnia_and_herzegovina,2025-11-18,FIFA World Cup qualification,Qualifiers,Austria,Bosnia and Herzegovina,1.0,1.0,1.36,5.6,9.5,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
