date,home_team,away_team,world_cup_year,stage
2018-06-22,Serbia,Switzerland,2018,Group Stage
2018-06-23,Germany,Sweden,2018,Group Stage
2018-06-23,Belgium,Tunisia,2018,Group Stage
2018-06-23,South Korea,Mexico,2018,Group Stage
2018-06-24,Japan,Senegal,2018,Group Stage
2018-06-24,Poland,Colombia,2018,Group Stage
2018-06-24,England,Panama,2018,Group Stage
2018-06-25,Russia,Uruguay,2018,Group Stage
2018-06-25,Saudi Arabia,Egypt,2018,Group Stage
2018-06-25,Spain,Morocco,2018,Group Stage
2018-06-25,Iran,Portugal,2018,Group Stage
2018-06-26,Australia,Peru,2018,Group Stage
2018-06-26,Denmark,France,2018,Group Stage
2018-06-26,Nigeria,Argentina,2018,Group Stage
2018-06-26,Iceland,Croatia,2018,Group Stage
2018-06-27,South Korea,Germany,2018,Group Stage
2018-06-27,Mexico,Sweden,2018,Group Stage
2018-06-27,Serbia,Brazil,2018,Group Stage
2018-06-27,Switzerland,Costa Rica,2018,Group Stage
2018-06-28,England,Belgium,2018,Group Stage
2018-06-28,Panama,Tunisia,2018,Group Stage
2018-06-28,Japan,Poland,2018,Group Stage
2018-06-28,Senegal,Colombia,2018,Group Stage
2018-06-30,France,Argentina,2018,Round of 16
2018-06-30,Uruguay,Portugal,2018,Round of 16
2018-07-01,Russia,Spain,2018,Round of 16
2018-07-01,Croatia,Denmark,2018,Round of 16
2018-07-02,Brazil,Mexico,2018,Round of 16
2018-07-02,Belgium,Japan,2018,Round of 16
2018-07-03,Sweden,Switzerland,2018,Round of 16
2018-07-03,Colombia,England,2018,Round of 16
2018-07-06,Uruguay,France,2018,Quarter-finals
2018-07-06,Brazil,Belgium,2018,Quarter-finals
2018-07-07,Sweden,England,2018,Quarter-finals
2018-07-07,Russia,Croatia,2018,Quarter-finals
2018-07-10,France,Belgium,2018,Semi-finals
2018-07-11,Croatia,England,2018,Semi-finals
2018-07-14,Belgium,England,2018,Third-place play-off
2018-07-15,France,Croatia,2018,Final
2022-11-20,Qatar,Ecuador,2022,Group Stage
2022-11-21,Senegal,Netherlands,2022,Group Stage
2022-11-21,England,Iran,2022,Group Stage
2022-11-21,United States,Wales,2022,Group Stage
2022-11-22,Argentina,Saudi Arabia,2022,Group Stage
2022-11-22,Mexico,Poland,2022,Group Stage
2022-11-22,Denmark,Tunisia,2022,Group Stage
2022-11-22,France,Australia,2022,Group Stage
2022-11-23,Germany,Japan,2022,Group Stage
2022-11-23,Spain,Costa Rica,2022,Group Stage
2022-11-23,Morocco,Croatia,2022,Group Stage
2022-11-23,Belgium,Canada,2022,Group Stage
2022-11-24,Portugal,Ghana,2022,Group Stage
2022-11-24,Uruguay,South Korea,2022,Group Stage
2022-11-24,Switzerland,Cameroon,2022,Group Stage
2022-11-24,Brazil,Serbia,2022,Group Stage
2022-11-25,Qatar,Senegal,2022,Group Stage
2022-11-25,Netherlands,Ecuador,2022,Group Stage
2022-11-25,Wales,Iran,2022,Group Stage
2022-11-25,England,United States,2022,Group Stage
2022-11-26,Poland,Saudi Arabia,2022,Group Stage
2022-11-26,Argentina,Mexico,2022,Group Stage
2022-11-26,Tunisia,Australia,2022,Group Stage
2022-11-26,France,Denmark,2022,Group Stage
2022-11-27,Croatia,Canada,2022,Group Stage
2022-11-27,Japan,Costa Rica,2022,Group Stage
2022-11-27,Spain,Germany,2022,Group Stage
2022-11-27,Belgium,Morocco,2022,Group Stage
2022-11-28,South Korea,Ghana,2022,Group Stage
2022-11-28,Portugal,Uruguay,2022,Group Stage
2022-11-28,Cameroon,Serbia,2022,Group Stage
2022-11-28,Brazil,Switzerland,2022,Group Stage
2022-11-29,Ecuador,Senegal,2022,Group Stage
2022-11-29,Qatar,Netherlands,2022,Group Stage
2022-11-29,Wales,England,2022,Group Stage
2022-11-29,Iran,United States,2022,Group Stage
2022-11-30,Poland,Argentina,2022,Group Stage
2022-11-30,Saudi Arabia,Mexico,2022,Group Stage
2022-11-30,Australia,Denmark,2022,Group Stage
2022-11-30,Tunisia,France,2022,Group Stage
2022-12-01,Japan,Spain,2022,Group Stage
2022-12-01,Costa Rica,Germany,2022,Group Stage
2022-12-01,Croatia,Belgium,2022,Group Stage
2022-12-01,Canada,Morocco,2022,Group Stage
2022-12-02,South Korea,Portugal,2022,Group Stage
2022-12-02,Ghana,Uruguay,2022,Group Stage
2022-12-02,Serbia,Switzerland,2022,Group Stage
2022-12-02,Cameroon,Brazil,2022,Group Stage
2022-12-03,Netherlands,United States,2022,Round of 16
2022-12-03,Argentina,Australia,2022,Round of 16
2022-12-04,France,Poland,2022,Round of 16
2022-12-04,England,Senegal,2022,Round of 16
2022-12-05,Japan,Croatia,2022,Round of 16
2022-12-05,Brazil,South Korea,2022,Round of 16
2022-12-06,Portugal,Switzerland,2022,Round of 16
2022-12-06,Morocco,Spain,2022,Round of 16
2022-12-09,Croatia,Brazil,2022,Quarter-finals
2022-12-09,Netherlands,Argentina,2022,Quarter-finals
2022-12-10,Morocco,Portugal,2022,Quarter-finals
2022-12-10,England,France,2022,Quarter-finals
2022-12-13,Argentina,Croatia,2022,Semi-finals
2022-12-14,France,Morocco,2022,Semi-finals
2022-12-17,Croatia,Morocco,2022,Third-place play-off
2022-12-18,Argentina,France,2022,Final
2026-06-11,Mexico,South Africa,2026,Group Stage
2026-06-11,South Korea,Czech Republic,2026,Group Stage
2026-06-12,Canada,Bosnia and Herzegovina,2026,Group Stage
2026-06-12,United States,Paraguay,2026,Group Stage
2026-06-13,Qatar,Switzerland,2026,Group Stage
2026-06-13,Brazil,Morocco,2026,Group Stage
2026-06-13,Haiti,Scotland,2026,Group Stage
2026-06-13,Australia,Turkey,2026,Group Stage
2026-06-14,Sweden,Tunisia,2026,Group Stage
2026-06-14,Netherlands,Japan,2026,Group Stage
2026-06-14,Germany,Curaçao,2026,Group Stage
2026-06-14,Ivory Coast,Ecuador,2026,Group Stage
2026-06-15,Belgium,Egypt,2026,Group Stage
2026-06-15,Iran,New Zealand,2026,Group Stage
2026-06-15,Spain,Cape Verde,2026,Group Stage
2026-06-15,Saudi Arabia,Uruguay,2026,Group Stage
2026-06-16,Austria,Jordan,2026,Group Stage
2026-06-16,Argentina,Algeria,2026,Group Stage
2026-06-16,France,Senegal,2026,Group Stage
2026-06-16,Iraq,Norway,2026,Group Stage
2026-06-17,Portugal,DR Congo,2026,Group Stage
2026-06-17,Uzbekistan,Colombia,2026,Group Stage
2026-06-17,England,Croatia,2026,Group Stage
2026-06-17,Ghana,Panama,2026,Group Stage
2026-06-18,Czech Republic,South Africa,2026,Group Stage
2026-06-18,Mexico,South Korea,2026,Group Stage
2026-06-18,Switzerland,Bosnia and Herzegovina,2026,Group Stage
2026-06-18,Canada,Qatar,2026,Group Stage
2026-06-19,Turkey,Paraguay,2026,Group Stage
2026-06-19,Scotland,Morocco,2026,Group Stage
2026-06-19,Brazil,Haiti,2026,Group Stage
2026-06-19,United States,Australia,2026,Group Stage
2026-06-20,Netherlands,Sweden,2026,Group Stage
2026-06-20,Tunisia,Japan,2026,Group Stage
2026-06-20,Germany,Ivory Coast,2026,Group Stage
2026-06-20,Ecuador,Curaçao,2026,Group Stage
2026-06-21,Belgium,Iran,2026,Group Stage
2026-06-21,New Zealand,Egypt,2026,Group Stage
2026-06-21,Spain,Saudi Arabia,2026,Group Stage
2026-06-21,Uruguay,Cape Verde,2026,Group Stage
2026-06-22,France,Iraq,2026,Group Stage
2026-06-22,Norway,Senegal,2026,Group Stage
2026-06-22,Argentina,Austria,2026,Group Stage
2026-06-22,Jordan,Algeria,2026,Group Stage
2026-06-23,Portugal,Uzbekistan,2026,Group Stage
2026-06-23,Colombia,DR Congo,2026,Group Stage
2026-06-23,England,Ghana,2026,Group Stage
2026-06-23,Panama,Croatia,2026,Group Stage
2026-06-24,Morocco,Haiti,2026,Group Stage
2026-06-24,Bosnia and Herzegovina,Qatar,2026,Group Stage
2026-06-24,Scotland,Brazil,2026,Group Stage
2026-06-24,South Africa,South Korea,2026,Group Stage
2026-06-24,Mexico,Czech Republic,2026,Group Stage
2026-06-24,Canada,Switzerland,2026,Group Stage
2026-06-25,United States,Turkey,2026,Group Stage
2026-06-25,Paraguay,Australia,2026,Group Stage
2026-06-25,Curaçao,Ivory Coast,2026,Group Stage
2026-06-25,Ecuador,Germany,2026,Group Stage
2026-06-25,Japan,Sweden,2026,Group Stage
2026-06-25,Tunisia,Netherlands,2026,Group Stage
2026-06-26,Senegal,Iraq,2026,Group Stage
2026-06-26,Norway,France,2026,Group Stage
2026-06-26,Uruguay,Spain,2026,Group Stage
2026-06-26,New Zealand,Belgium,2026,Group Stage
2026-06-26,Egypt,Iran,2026,Group Stage
2026-06-26,Cape Verde,Saudi Arabia,2026,Group Stage
2026-06-27,Panama,England,2026,Group Stage
2026-06-27,Algeria,Austria,2026,Group Stage
2026-06-27,Jordan,Argentina,2026,Group Stage
2026-06-27,Colombia,Portugal,2026,Group Stage
2026-06-27,DR Congo,Uzbekistan,2026,Group Stage
2026-06-27,Croatia,Ghana,2026,Group Stage
