date,competition,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,source_id,source_url,source_priority,home_implied_prob,draw_implied_prob,away_implied_prob,market_overround,bookmaker_margin,market_home_prob_norm,market_draw_prob_norm,market_away_prob_norm,market_prob_sum,odds_prob_diff,market_draw_prob,market_favorite,market_favorite_prob,has_market_odds,home_bet_count,draw_bet_count,away_bet_count,home_bet_share,draw_bet_share,away_bet_share,bet_volume_available,bet_volume_source,bet_volume_note,is_world_cup_match,is_future_match,quality_prob_sum_ok,quality_positive_odds,_source_row_id,reject_reason
2014-06-12,FIFA World Cup,Brazil,Croatia,3.0,1.0,1.31,5.11,12.02,oddsportal:average,https://www.oddsportal.com,1,0.7633587786259541,0.19569471624266144,0.0831946755407654,1.042248170409381,0.04224817040938089,0.732415561186466,0.1877621105977046,0.0798223282158295,1.0,0.6525932329706365,0.1877621105977046,home_win,0.732415561186466,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2478,
2014-06-13,FIFA World Cup,Chile,Australia,3.0,1.0,1.42,4.4,8.63,oddsportal:average,https://www.oddsportal.com,1,0.7042253521126761,0.22727272727272727,0.11587485515643105,1.0473729345418346,0.047372934541834555,0.6723730668300439,0.21699312611333232,0.11063380705662366,0.9999999999999999,0.5617392597734203,0.21699312611333232,home_win,0.6723730668300439,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2466,
2014-06-13,FIFA World Cup,Mexico,Cameroon,1.0,0.0,2.18,3.14,3.74,oddsportal:average,https://www.oddsportal.com,1,0.4587155963302752,0.3184713375796178,0.267379679144385,1.0445666130542781,0.044566613054278115,0.43914441702191304,0.30488370353750655,0.2559718794405803,0.9999999999999999,0.18317253758133273,0.30488370353750655,home_win,0.43914441702191304,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2474,
2014-06-13,FIFA World Cup,Spain,Netherlands,1.0,5.0,1.84,3.32,4.99,oddsportal:average,https://www.oddsportal.com,1,0.5434782608695652,0.30120481927710846,0.2004008016032064,1.04508388174988,0.045083881749879984,0.5200331479226047,0.2882111422221665,0.19175570985522894,1.0,0.32827743806737575,0.2882111422221665,home_win,0.5200331479226047,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2470,
2014-06-14,FIFA World Cup,Colombia,Greece,3.0,0.0,1.84,3.26,5.12,oddsportal:average,https://www.oddsportal.com,1,0.5434782608695652,0.3067484662576687,0.1953125,1.045539227127234,0.045539227127233906,0.5198066669988539,0.2933878120484329,0.18680552095271313,1.0,0.3330011460461408,0.2933878120484329,home_win,0.5198066669988539,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2462,
2014-06-14,FIFA World Cup,England,Italy,1.0,2.0,2.51,2.99,3.23,oddsportal:average,https://www.oddsportal.com,1,0.39840637450199207,0.33444816053511706,0.30959752321981426,1.0424520582569234,0.04245205825692344,0.38218196352181844,0.32082833727082416,0.29698969920735735,1.0,0.08519226431446109,0.32082833727082416,home_win,0.38218196352181844,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2454,
2014-06-14,FIFA World Cup,Ivory Coast,Japan,2.0,1.0,2.68,3.31,2.7,oddsportal:average,https://www.oddsportal.com,1,0.3731343283582089,0.3021148036253776,0.37037037037037035,1.045619502353957,0.04561950235395695,0.3568547904072065,0.288933788003418,0.3542114215893754,1.0,0.0026433688178311154,0.288933788003418,home_win,0.3568547904072065,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2450,
2014-06-14,FIFA World Cup,Uruguay,Costa Rica,1.0,3.0,1.44,4.2,9.02,oddsportal:average,https://www.oddsportal.com,1,0.6944444444444444,0.23809523809523808,0.11086474501108648,1.043404427550769,0.04340442755076901,0.665556351983809,0.22819074925159166,0.10625289876459924,0.9999999999999999,0.5593034532192098,0.22819074925159166,home_win,0.665556351983809,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2458,
2014-06-15,FIFA World Cup,Argentina,Bosnia and Herzegovina,2.0,1.0,1.31,5.56,10.24,oddsportal:average,https://www.oddsportal.com,1,0.7633587786259541,0.1798561151079137,0.09765625,1.0408711437338678,0.0408711437338678,0.7333845147129291,0.1727938335025067,0.09382165178456418,0.9999999999999999,0.639562862928365,0.1727938335025067,home_win,0.7333845147129291,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2438,
2014-06-15,FIFA World Cup,France,Honduras,3.0,0.0,1.26,5.89,12.4,oddsportal:average,https://www.oddsportal.com,1,0.7936507936507936,0.16977928692699493,0.08064516129032258,1.0440752418681112,0.04407524186811118,0.7601471252500483,0.16261211847454346,0.07724075627540813,1.0,0.6829063689746402,0.16261211847454346,home_win,0.7601471252500483,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,2442,
