date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1983-11-16,German DR,Scotland,German DR,False,UEFA,UEFA,UEFA,True,False,True,True
1983-11-16,Czechoslovakia,Italy,Czechoslovakia,False,UEFA,UEFA,UEFA,True,False,True,True
1983-11-16,Bulgaria,Wales,Bulgaria,False,UEFA,UEFA,UEFA,True,False,True,True
1983-11-17,Ethiopia,Uganda,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-17,Malawi,Somalia,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-18,Kenya,Tanzania,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-11-19,Senegal,Nigeria,Senegal,False,CAF,CAF,CAF,True,False,True,True
1983-11-19,Somalia,Zimbabwe,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-19,Barbados,Sweden,Barbados,False,CONCACAF,UEFA,CONCACAF,True,False,True,False
1983-11-19,Ethiopia,Sudan,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-20,Germany,Albania,Germany,False,UEFA,UEFA,UEFA,True,False,True,True
1983-11-20,Malawi,Zanzibar,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-20,Sri Lanka,Singapore,Sri Lanka,False,AFC,AFC,AFC,True,False,True,True
1983-11-20,Tanzania,Uganda,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-21,Kenya,Sudan,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-11-22,Mexico,Sweden,Mexico,False,CONCACAF,UEFA,CONCACAF,True,False,True,False
1983-11-23,Kenya,Malawi,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-11-23,Uganda,Zimbabwe,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-25,Malawi,Uganda,Kenya,True,CAF,CAF,CAF,False,False,True,True
1983-11-26,Kenya,Zimbabwe,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-11-29,Martinique,Mexico,Martinique,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-11-30,Algeria,Switzerland,Algeria,False,CAF,UEFA,CAF,True,False,True,False
1983-11-30,Czechoslovakia,Romania,Czechoslovakia,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-02,Ivory Coast,Switzerland,Ivory Coast,False,CAF,UEFA,CAF,True,False,True,False
1983-12-03,Greece,Hungary,Greece,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-04,Australia,China,Singapore,True,AFC,AFC,AFC,False,False,True,True
1983-12-04,Zimbabwe,Switzerland,Zimbabwe,False,CAF,UEFA,CAF,True,False,True,False
1983-12-06,Kenya,Switzerland,Kenya,False,CAF,UEFA,CAF,True,False,True,False
1983-12-06,Mexico,Canada,Mexico,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-12-08,Belize,Canada,Belize,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-12-08,Kenya,Ethiopia,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-12-10,Kenya,Ethiopia,Kenya,False,CAF,CAF,CAF,True,False,True,True
